Feature,DataType,StatType,Description,Keep,Observations,Attack,AttackCat,IsAttack,IsDosAttack,IsProbeAttack,IsR2LAttack,IsU2RAttack,IsOtherAttack
DiffSrvRate,num,continuous,The percentage of connections to different services. It indicates the ratio of connections to different services to the total number of connections.,Yes,"It shows signs of a good relation with the ""DstHostDiffSrvRate"" feature. It also relates with the ""IsAttack"" and even better with the ""IsProbeAttack"", for which it is only one of the three features to be reported as having a good relation with it.",Yes,,Yes,,Yes,,,
SrvDiffHostRate,num,continuous,The percentage of connections to different hosts for the same service. It is the ratio of connections to different hosts for the same service to the total number of connections to the same service.,No,It does not show signs o any relation with the response variables.,,,,,,,,
DstHostCount,int,continuous,The number of connections to the same destination host. It represents the count of connections to the same destination host.,Yes,It shows signs o some relation with the "IsAttack" and "IsDosAttack" response variables.,Yes,,Yes,Yes,,,,
DstHostSrvCount,int,continuous,The number of connections to the same service on the destination host. It indicates the count of connections to the same service on the destination host.,Yes,Very well sparse variable. It ranks among the strongly related features with the "IsAttack" and "IsDosAttack" response variables. It is also related to other quantifying characteristics.,Yes,,Yes,Yes,,,,
DstHostSameSrvRate,num,continuous,The percentage of connections to the same service on the destination host. It is the ratio of connections to the same service on the destination host to the total number of connections to the destination host.,Yes,Sparse variable ranking third strongest related feature to "IsAttack" and fifth strongest to "IsDosAttack" response variable. It is also related to other quantifying characteristics.,Yes,,Yes,Yes,,,,
DstHostDiffSrvRate,num,continuous,The percentage of connections to different services on the destination host. It represents the ratio of connections to different services on the destination host to the total number of connections to the destination host.,Yes,It has some relation with the "IsAttack" variable and it is the best related to the "IsProbeAttack". It is also related to other quantifying characteristics.,Yes,,Yes,,Yes,,,
DstHostSameSrcPortRate,num,continuous,The percentage of connections from the same source port to the destination host. It is the ratio of connections from the same source port to the destination host to the total number of connections to the destination host.,No,It does not show signs o any relation with the response variables.,,,,,,,,
DstHostSrvDiffHostRate,num,continuous,The percentage of connections to the same service on different hosts. It indicates the ratio of connections to the same service on different hosts to the total number of connections to the same service.,No,It does not show signs o any relation with the response variables.,,,,,,,,
DstHostSerrorRate,num,continuous,The percentage of connections to the destination host that have "SYN" errors. It represents the ratio of connections with "SYN" errors to the total number of connections to the destination host.,Yes,It shows signs o some relation with the "IsAttack" and "IsDosAttack" response variables.,Yes,,Yes,Yes,,,,
DstHostSrvSerrorRate,num,continuous,The percentage of connections to the same service on the destination host that have "SYN" errors. It is the ratio of connections with "SYN" errors to the total number of connections to the same service on the destination host.,Yes,It shows signs o some relation with the "IsAttack" and "IsDosAttack" response variables.,Yes,,Yes,Yes,,,,
DstHostRerrorRate,num,continuous,The percentage of connections to the destination host that have "REJ" errors. It represents the ratio of connections with "REJ" errors to the total number of connections to the destination host.,Yes,"It shows signs o some relation with the ""IsAttack"" and ""IsDosAttack"" response variables. It also holds a strong correlation with DstHostSrvRerrorRate, RerrorRate, SrvRerrorRate. Bi-variate corr. test identifies a weak relation with IsOtherAttack
",Yes,,Yes,Yes,,,,Yes
DstHostSrvRerrorRate,num,continuous,The percentage of connections to the same service on the destination host that have "REJ" errors. It represents the ratio of connections with "REJ" errors to the total number of connections to the same service on the destination host.,No,"It has a strong correlation with DstHostErrorRate but this one is sparser and ranks better in correlations with the IsAttack and IsDosAttack response variables, so we'll keep it instead ",No,,No,No,,,,
Attack,chr,response,Response variable with a value for each type of attack and the value "normal." when no attack was suffered for the case.,Yes,Response variable,,,,,,,,
AttackCat,chr,response,"Category type of the attacks: DoS, Probe, Normal, U2R, L2R, Others",Yes,Response variable,,,,,,,,
IsAttack,boolean,response,Boolean flag indicating whether an attack was observed.,Yes,Response variable,,,,,,,,
IsDosAttack,boolean,response,Boolean flag indicating whether a DOS attack was observed.,Yes,Response variable,,,,,,,,
IsProbeAttack,boolean,response,Boolean flag indicating whether a Probe attack was observed.,Yes,Response variable,,,,,,,,
IsR2Lattack,boolean,response,Boolean flag indicating whether a R2L attack was observed.,Yes,Response variable,,,,,,,,
IsU2Rattack,boolean,response,Boolean flag indicating whether a U2R attack was observed.,Yes,Response variable,,,,,,,,
IsOtherAttack,boolean,response,Boolean flag indicating whether an unclassified (other) attack was observed.,Yes,Response variable,,,,,,,,
